3000,127, 117, 113
4000,106, 111, 116
5000,861, 861, 862
6000,863, 873, 881
7000,875, 882, 856
8000,876, 871, 871
9000,862, 867, 885
10000,864, 858, 864
11000,857, 856, 860
12000,868, 857, 873
13000,864, 875, 871
14000,867, 871, 866
15000,875, 880, 869
16000,876, 865, 879
17000,6952, 6964, 6953
18000,7038, 7048, 7106
19000,7134, 7057, 7136
20000,7100, 7132, 7111
21000,7140, 7096, 7066
22000,7038, 7090, 7090
23000,7036, 7104, 7151
24000,7110, 7141, 7059
25000,7120, 7060, 7108
26000,7138, 7065, 7131
27000,7088, 7154, 7112
28000,7119, 7137, 7346
29000,7042, 7052, 7114
30000,7113, 7082, 7144
31000,7091, 7138, 7065
32000,7104, 7138, 7105
33000,7134, 7072, 7089
34000,7051, 7050, 7114
35000,7107, 7055, 7127
